"name","type","class","S3method","generic","package","Rversion"
"[.simple.list","closure","function",TRUE,FALSE,"base","3.3.2"
"[.table","closure","function",TRUE,FALSE,"base","3.3.2"
"[.warnings","closure","function",TRUE,FALSE,"base","3.3.2"
"[<-","special","function",FALSE,TRUE,"base","3.3.2"
"[<-.Date","closure","function",TRUE,FALSE,"base","3.3.2"
"[<-.POSIXct","closure","function",TRUE,FALSE,"base","3.3.2"
"[<-.POSIXlt","closure","function",TRUE,FALSE,"base","3.3.2"
"[<-.data.frame","closure","function",TRUE,FALSE,"base","3.3.2"
"[<-.factor","closure","function",TRUE,FALSE,"base","3.3.2"
"[<-.numeric_version","closure","function",TRUE,FALSE,"base","3.3.2"
"[[","special","function",FALSE,FALSE,"base","3.3.2"
"[[.Date","closure","function",TRUE,FALSE,"base","3.3.2"
"[[.POSIXct","closure","function",TRUE,FALSE,"base","3.3.2"
"[[.data.frame","closure","function",TRUE,FALSE,"base","3.3.2"
"[[.factor","closure","function",TRUE,FALSE,"base","3.3.2"
"[[.numeric_version","closure","function",TRUE,FALSE,"base","3.3.2"
"[[<-","special","function",FALSE,TRUE,"base","3.3.2"
"[[<-.data.frame","closure","function",TRUE,FALSE,"base","3.3.2"
"[[<-.factor","closure","function",TRUE,FALSE,"base","3.3.2"
"[[<-.numeric_version","closure","function",TRUE,FALSE,"base","3.3.2"
"^","builtin","function",FALSE,TRUE,"base","3.3.2"
"abbreviate","closure","function",FALSE,FALSE,"base","3.3.2"
"abs","builtin","function",FALSE,TRUE,"base","3.3.2"
"acos","builtin","function",FALSE,TRUE,"base","3.3.2"
"acosh","builtin","function",FALSE,TRUE,"base","3.3.2"
"addNA","closure","function",FALSE,FALSE,"base","3.3.2"
"addTaskCallback","closure","function",FALSE,FALSE,"base","3.3.2"
"agrep","closure","function",FALSE,FALSE,"base","3.3.2"
"agrepl","closure","function",FALSE,FALSE,"base","3.3.2"
"alist","closure","function",FALSE,FALSE,"base","3.3.2"
"all","builtin","function",FALSE,FALSE,"base","3.3.2"
"all.equal","closure","function",FALSE,FALSE,"base","3.3.2"
"all.equal.POSIXt","closure","function",TRUE,FALSE,"base","3.3.2"
"all.equal.character","closure","function",TRUE,FALSE,"base","3.3.2"
"all.equal.default","closure","function",TRUE,FALSE,"base","3.3.2"
"all.equal.envRefClass","closure","function",TRUE,FALSE,"base","3.3.2"
"all.equal.environment","closure","function",TRUE,FALSE,"base","3.3.2"
"all.equal.factor","closure","function",TRUE,FALSE,"base","3.3.2"
"all.equal.formula","closure","function",TRUE,FALSE,"base","3.3.2"
"all.equal.language","closure","function",TRUE,FALSE,"base","3.3.2"
"all.equal.list","closure","function",TRUE,FALSE,"base","3.3.2"
"all.equal.numeric","closure","function",TRUE,FALSE,"base","3.3.2"
"all.equal.raw","closure","function",TRUE,FALSE,"base","3.3.2"
"all.names","closure","function",FALSE,FALSE,"base","3.3.2"
"all.vars","closure","function",FALSE,FALSE,"base","3.3.2"
"any","builtin","function",FALSE,FALSE,"base","3.3.2"
"anyDuplicated","closure","function",FALSE,FALSE,"base","3.3.2"
"anyDuplicated.array","closure","function",TRUE,FALSE,"base","3.3.2"
"anyDuplicated.data.frame","closure","function",TRUE,FALSE,"base","3.3.2"
"anyDuplicated.default","closure","function",TRUE,FALSE,"base","3.3.2"
"anyDuplicated.matrix","closure","function",TRUE,FALSE,"base","3.3.2"
"anyNA","builtin","function",FALSE,FALSE,"base","3.3.2"
"anyNA.POSIXlt","closure","function",TRUE,FALSE,"base","3.3.2"
"anyNA.numeric_version","closure","function",TRUE,FALSE,"base","3.3.2"
"aperm","closure","function",FALSE,FALSE,"base","3.3.2"
"aperm.default","closure","function",TRUE,FALSE,"base","3.3.2"
"aperm.table","closure","function",TRUE,FALSE,"base","3.3.2"
"append","closure","function",FALSE,FALSE,"base","3.3.2"
"apply","closure","function",FALSE,FALSE,"base","3.3.2"
"args","closure","function",FALSE,FALSE,"base","3.3.2"
"array","closure","function",FALSE,FALSE,"base","3.3.2"
"arrayInd","closure","function",FALSE,FALSE,"base","3.3.2"
"as.Date","closure","function",FALSE,FALSE,"base","3.3.2"
"as.Date.POSIXct","closure","function",FALSE,FALSE,"base","3.3.2"
"as.Date.POSIXlt","closure","function",FALSE,FALSE,"base","3.3.2"
"as.Date.character","closure","function",FALSE,FALSE,"base","3.3.2"
"as.Date.date","closure","function",FALSE,FALSE,"base","3.3.2"
"as.Date.dates","closure","function",FALSE,FALSE,"base","3.3.2"
"as.Date.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.Date.factor","closure","function",FALSE,FALSE,"base","3.3.2"
"as.Date.numeric","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXct","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXct.Date","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXct.POSIXlt","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXct.date","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXct.dates","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXct.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXct.numeric","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXlt","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXlt.Date","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXlt.POSIXct","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXlt.character","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXlt.date","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXlt.dates","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXlt.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXlt.factor","closure","function",FALSE,FALSE,"base","3.3.2"
"as.POSIXlt.numeric","closure","function",FALSE,FALSE,"base","3.3.2"
"as.array","closure","function",FALSE,FALSE,"base","3.3.2"
"as.array.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.call","builtin","function",FALSE,FALSE,"base","3.3.2"
"as.character","builtin","function",FALSE,FALSE,"base","3.3.2"
"as.character.Date","closure","function",FALSE,FALSE,"base","3.3.2"
"as.character.POSIXt","closure","function",FALSE,FALSE,"base","3.3.2"
"as.character.condition","closure","function",FALSE,FALSE,"base","3.3.2"
"as.character.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.character.error","closure","function",FALSE,FALSE,"base","3.3.2"
"as.character.factor","closure","function",FALSE,FALSE,"base","3.3.2"
"as.character.hexmode","closure","function",FALSE,FALSE,"base","3.3.2"
"as.character.numeric_version","closure","function",FALSE,FALSE,"base","3.3.2"
"as.character.octmode","closure","function",FALSE,FALSE,"base","3.3.2"
"as.character.srcref","closure","function",FALSE,FALSE,"base","3.3.2"
"as.complex","builtin","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.AsIs","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.Date","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.POSIXct","closure","function",FALSE,FALSE,"base","3.3.2"
"as.data.frame.POSIXlt","closure","function",FALSE,FALSE,"base","3.3.2"
