"name","type","class","exported","S4generic","args","package","priority","Rversion","hidden"
"data                      ","closure    ","           ","TRUE","FALSE","(..., list = character(0), package = c(.packages(),     .Autoloaded), lib.loc = .lib.loc, verbose = .Options$verbose)                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.65.0",FALSE
"data.class                ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"data.entry                ","closure    ","           ","TRUE","FALSE","(..., Modes = NULL, Names = NULL)                                                                                                                                                                                                                                                                                                                                                                                      ","base   ","NA","0.65.0",FALSE
"data.frame                ","closure    ","           ","TRUE","FALSE","(..., row.names = NULL, check.rows = FALSE, check.names = TRUE)                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.65.0",FALSE
"data.matrix               ","closure    ","           ","TRUE","FALSE","(frame)                                                                                                                                                                                                                                                                                                                                                                                                                ","base   ","NA","0.65.0",FALSE
"dataentry                 ","closure    ","           ","TRUE","FALSE","(data, modes)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"date                      ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0",FALSE
"dbeta                     ","closure    ","           ","TRUE","FALSE","(x, shape1, shape2, ncp = 0)                                                                                                                                                                                                                                                                                                                                                                                           ","base   ","NA","0.65.0",FALSE
"dbinom                    ","closure    ","           ","TRUE","FALSE","(x, size, prob)                                                                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.65.0",FALSE
"dcauchy                   ","closure    ","           ","TRUE","FALSE","(x, location = 0, scale = 1)                                                                                                                                                                                                                                                                                                                                                                                           ","base   ","NA","0.65.0",FALSE
"dchisq                    ","closure    ","           ","TRUE","FALSE","(x, df, ncp = 0)                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"de                        ","closure    ","           ","TRUE","FALSE","(..., Modes = list(), Names = NULL)                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"de.ncols                  ","closure    ","           ","TRUE","FALSE","(inlist)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"de.restore                ","closure    ","           ","TRUE","FALSE","(inlist, ncols, coltypes, argnames, args)                                                                                                                                                                                                                                                                                                                                                                              ","base   ","NA","0.65.0",FALSE
"de.setup                  ","closure    ","           ","TRUE","FALSE","(ilist, list.names, incols)                                                                                                                                                                                                                                                                                                                                                                                            ","base   ","NA","0.65.0",FALSE
"debug                     ","builtin    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"delay                     ","closure    ","           ","TRUE","FALSE","(x, env = .GlobalEnv)                                                                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.65.0",FALSE
"delete.response           ","closure    ","           ","TRUE","FALSE","(termobj)                                                                                                                                                                                                                                                                                                                                                                                                              ","base   ","NA","0.65.0",FALSE
"deltat                    ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"deltat.default            ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"demo                      ","closure    ","           ","TRUE","FALSE","(topic, device = .Options$device)                                                                                                                                                                                                                                                                                                                                                                                      ","base   ","NA","0.65.0",FALSE
"density                   ","closure    ","           ","TRUE","FALSE","(x, bw, adjust = 1, kernel = \""gaussian\"", window = kernel,     n = 512, width, from, to, cut = 3, na.rm = FALSE)                                                                                                                                                                                                                                                                                                      ","base   ","NA","0.65.0",FALSE
"deparse                   ","closure    ","           ","TRUE","FALSE","(expr, width.cutoff = 60)                                                                                                                                                                                                                                                                                                                                                                                              ","base   ","NA","0.65.0",FALSE
"deriv                     ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"deriv.default             ","closure    ","           ","TRUE","FALSE","(expr, namevec, function.arg = NULL, tag = \"".expr\"")                                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.65.0",FALSE
"deriv.formula             ","closure    ","           ","TRUE","FALSE","(expr, namevec, function.arg = NULL, tag = \"".expr\"")                                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.65.0",FALSE
"detach                    ","closure    ","           ","TRUE","FALSE","(name, pos = 2)                                                                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.65.0",FALSE
"dev.control               ","closure    ","           ","TRUE","FALSE","(displaylist)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"dev.copy                  ","closure    ","           ","TRUE","FALSE","(device, ..., which = dev.next())                                                                                                                                                                                                                                                                                                                                                                                      ","base   ","NA","0.65.0",FALSE
"dev.cur                   ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0",FALSE
"dev.list                  ","closure    ","           ","TRUE","FALSE","()                                                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0",FALSE
"dev.next                  ","closure    ","           ","TRUE","FALSE","(which = dev.cur())                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"dev.off                   ","closure    ","           ","TRUE","FALSE","(which = dev.cur())                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"dev.prev                  ","closure    ","           ","TRUE","FALSE","(which = dev.cur())                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"dev.print                 ","closure    ","           ","TRUE","FALSE","(device = postscript, ...)                                                                                                                                                                                                                                                                                                                                                                                             ","base   ","NA","0.65.0",FALSE
"dev.set                   ","closure    ","           ","TRUE","FALSE","(which = dev.next())                                                                                                                                                                                                                                                                                                                                                                                                   ","base   ","NA","0.65.0",FALSE
"deviance                  ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"deviance.default          ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"deviance.glm              ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"deviance.lm               ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"deviance.mlm              ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"dexp                      ","closure    ","           ","TRUE","FALSE","(x, rate = 1)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"df                        ","closure    ","           ","TRUE","FALSE","(x, df1, df2)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"df.residual               ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"df.residual.lm            ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"dfbetas                   ","closure    ","           ","TRUE","FALSE","(lm.obj)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"dffits                    ","closure    ","           ","TRUE","FALSE","(lm.obj)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"dgamma                    ","closure    ","           ","TRUE","FALSE","(x, shape, scale = 1)                                                                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.65.0",FALSE
"dgeom                     ","closure    ","           ","TRUE","FALSE","(x, prob)                                                                                                                                                                                                                                                                                                                                                                                                              ","base   ","NA","0.65.0",FALSE
"dget                      ","closure    ","           ","TRUE","FALSE","(file)                                                                                                                                                                                                                                                                                                                                                                                                                 ","base   ","NA","0.65.0",FALSE
"dhyper                    ","closure    ","           ","TRUE","FALSE","(x, m, n, k)                                                                                                                                                                                                                                                                                                                                                                                                           ","base   ","NA","0.65.0",FALSE
"diag                      ","closure    ","           ","TRUE","FALSE","(x = 1, nrow, ncol = n)                                                                                                                                                                                                                                                                                                                                                                                                ","base   ","NA","0.65.0",FALSE
"diag<-                    ","closure    ","           ","TRUE","FALSE","(x, value)                                                                                                                                                                                                                                                                                                                                                                                                             ","base   ","NA","0.65.0",FALSE
"diff                      ","closure    ","           ","TRUE","FALSE","(x, ...)                                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"diff.default              ","closure    ","           ","TRUE","FALSE","(x, lag = 1, differences = 1, ...)                                                                                                                                                                                                                                                                                                                                                                                     ","base   ","NA","0.65.0",FALSE
"digamma                   ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"dim                       ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"dim.data.frame            ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"dim<-                     ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"dimnames                  ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"dimnames.data.frame       ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"dimnames<-                ","special    ","           ","TRUE","NA","                                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"dimnames<-.data.frame     ","closure    ","           ","TRUE","FALSE","(x, value)                                                                                                                                                                                                                                                                                                                                                                                                             ","base   ","NA","0.65.0",FALSE
"dir                       ","closure    ","           ","TRUE","FALSE","(path, pattern = NULL, all.files = FALSE, full.names = FALSE)                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"dirname                   ","closure    ","           ","TRUE","FALSE","(path)                                                                                                                                                                                                                                                                                                                                                                                                                 ","base   ","NA","0.65.0",FALSE
"dlnorm                    ","closure    ","           ","TRUE","FALSE","(x, meanlog = 0, sdlog = 1)                                                                                                                                                                                                                                                                                                                                                                                            ","base   ","NA","0.65.0",FALSE
"dlogis                    ","closure    ","           ","TRUE","FALSE","(x, location = 0, scale = 1)                                                                                                                                                                                                                                                                                                                                                                                           ","base   ","NA","0.65.0",FALSE
"dnbinom                   ","closure    ","           ","TRUE","FALSE","(x, size, prob)                                                                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.65.0",FALSE
"dnchisq                   ","closure    ","           ","TRUE","FALSE","(x, df, lambda)                                                                                                                                                                                                                                                                                                                                                                                                        ","base   ","NA","0.65.0",FALSE
"dnorm                     ","closure    ","           ","TRUE","FALSE","(x, mean = 0, sd = 1)                                                                                                                                                                                                                                                                                                                                                                                                  ","base   ","NA","0.65.0",FALSE
"do.call                   ","closure    ","           ","TRUE","FALSE","(what, args)                                                                                                                                                                                                                                                                                                                                                                                                           ","base   ","NA","0.65.0",FALSE
"dotplot                   ","closure    ","           ","TRUE","FALSE","(x, labels = NULL, groups = NULL, gdata = NULL, cex = par(\""cex\""),     pch = 21, gpch = 21, bg = par(\""bg\""), color = par(\""fg\""), gcolor = par(\""fg\""),     lcolor = \""gray\"", main = NULL, xlab = NULL, ylab = NULL, ...)                                                                                                                                                                                           ","base   ","NA","0.65.0",FALSE
"double                    ","closure    ","           ","TRUE","FALSE","(length = 0)                                                                                                                                                                                                                                                                                                                                                                                                           ","base   ","NA","0.65.0",FALSE
"dpois                     ","closure    ","           ","TRUE","FALSE","(x, lambda)                                                                                                                                                                                                                                                                                                                                                                                                            ","base   ","NA","0.65.0",FALSE
"dput                      ","closure    ","           ","TRUE","FALSE","(x, file = \""\"")                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"drop                      ","closure    ","           ","TRUE","FALSE","(x)                                                                                                                                                                                                                                                                                                                                                                                                                    ","base   ","NA","0.65.0",FALSE
"drop.scope                ","closure    ","           ","TRUE","FALSE","(terms1, terms2)                                                                                                                                                                                                                                                                                                                                                                                                       ","base   ","NA","0.65.0",FALSE
"drop.terms                ","closure    ","           ","TRUE","FALSE","(termobj, dropx = NULL, keep.response = FALSE)                                                                                                                                                                                                                                                                                                                                                                         ","base   ","NA","0.65.0",FALSE
"drop1                     ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"drop1.default             ","closure    ","           ","TRUE","FALSE","(object, scope, scale = 0, test = c(\""none\"", \""Chisq\""),     k = 2, trace = FALSE, ...)                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"drop1.glm                 ","closure    ","           ","TRUE","FALSE","(object, scope, scale = 0, test = c(\""none\"", \""Chisq\""),     k = 2, ...)                                                                                                                                                                                                                                                                                                                                              ","base   ","NA","0.65.0",FALSE
"drop1.lm                  ","closure    ","           ","TRUE","FALSE","(object, scope, scale = 0, all.cols = TRUE, test = c(\""none\"",     \""Chisq\"", \""F\""), k = 2, ...)                                                                                                                                                                                                                                                                                                                      ","base   ","NA","0.65.0",FALSE
"drop1.mlm                 ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"dsignrank                 ","closure    ","           ","TRUE","FALSE","(x, n)                                                                                                                                                                                                                                                                                                                                                                                                                 ","base   ","NA","0.65.0",FALSE
"dt                        ","closure    ","           ","TRUE","FALSE","(x, df)                                                                                                                                                                                                                                                                                                                                                                                                                ","base   ","NA","0.65.0",FALSE
"dummy.coef                ","closure    ","           ","TRUE","FALSE","(object, ...)                                                                                                                                                                                                                                                                                                                                                                                                          ","base   ","NA","0.65.0",FALSE
"dummy.coef.aovlist        ","closure    ","           ","TRUE","FALSE","(object, use.na = FALSE)                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
"dummy.coef.lm             ","closure    ","           ","TRUE","FALSE","(object, use.na = FALSE)                                                                                                                                                                                                                                                                                                                                                                                               ","base   ","NA","0.65.0",FALSE
