name,type,class,S3method,generic,package,Rversion
[[.numeric_version,closure,function,TRUE,FALSE,base,3.4.0
[[<-,special,function,FALSE,TRUE,base,3.4.0
[[<-.data.frame,closure,function,TRUE,FALSE,base,3.4.0
[[<-.factor,closure,function,TRUE,FALSE,base,3.4.0
[[<-.numeric_version,closure,function,TRUE,FALSE,base,3.4.0
^,builtin,function,FALSE,TRUE,base,3.4.0
abbreviate,closure,function,FALSE,FALSE,base,3.4.0
abs,builtin,function,FALSE,TRUE,base,3.4.0
acos,builtin,function,FALSE,TRUE,base,3.4.0
acosh,builtin,function,FALSE,TRUE,base,3.4.0
addNA,closure,function,FALSE,FALSE,base,3.4.0
addTaskCallback,closure,function,FALSE,FALSE,base,3.4.0
agrep,closure,function,FALSE,FALSE,base,3.4.0
agrepl,closure,function,FALSE,FALSE,base,3.4.0
alist,closure,function,FALSE,FALSE,base,3.4.0
all,builtin,function,FALSE,FALSE,base,3.4.0
all.equal,closure,function,FALSE,FALSE,base,3.4.0
all.equal.POSIXt,closure,function,TRUE,FALSE,base,3.4.0
all.equal.character,closure,function,TRUE,FALSE,base,3.4.0
all.equal.default,closure,function,TRUE,FALSE,base,3.4.0
all.equal.envRefClass,closure,function,TRUE,FALSE,base,3.4.0
all.equal.environment,closure,function,TRUE,FALSE,base,3.4.0
all.equal.factor,closure,function,TRUE,FALSE,base,3.4.0
all.equal.formula,closure,function,TRUE,FALSE,base,3.4.0
all.equal.language,closure,function,TRUE,FALSE,base,3.4.0
all.equal.list,closure,function,TRUE,FALSE,base,3.4.0
all.equal.numeric,closure,function,TRUE,FALSE,base,3.4.0
all.equal.raw,closure,function,TRUE,FALSE,base,3.4.0
all.names,closure,function,FALSE,FALSE,base,3.4.0
all.vars,closure,function,FALSE,FALSE,base,3.4.0
any,builtin,function,FALSE,FALSE,base,3.4.0
anyDuplicated,closure,function,FALSE,FALSE,base,3.4.0
anyDuplicated.array,closure,function,TRUE,FALSE,base,3.4.0
anyDuplicated.data.frame,closure,function,TRUE,FALSE,base,3.4.0
anyDuplicated.default,closure,function,TRUE,FALSE,base,3.4.0
anyDuplicated.matrix,closure,function,TRUE,FALSE,base,3.4.0
anyNA,builtin,function,FALSE,FALSE,base,3.4.0
anyNA.POSIXlt,closure,function,TRUE,FALSE,base,3.4.0
anyNA.numeric_version,closure,function,TRUE,FALSE,base,3.4.0
aperm,closure,function,FALSE,FALSE,base,3.4.0
aperm.default,closure,function,TRUE,FALSE,base,3.4.0
aperm.table,closure,function,TRUE,FALSE,base,3.4.0
append,closure,function,FALSE,FALSE,base,3.4.0
apply,closure,function,FALSE,FALSE,base,3.4.0
args,closure,function,FALSE,FALSE,base,3.4.0
array,closure,function,FALSE,FALSE,base,3.4.0
arrayInd,closure,function,FALSE,FALSE,base,3.4.0
as.Date,closure,function,FALSE,FALSE,base,3.4.0
as.Date.POSIXct,closure,function,TRUE,FALSE,base,3.4.0
as.Date.POSIXlt,closure,function,TRUE,FALSE,base,3.4.0
as.Date.character,closure,function,TRUE,FALSE,base,3.4.0
as.Date.date,closure,function,TRUE,FALSE,base,3.4.0
as.Date.dates,closure,function,TRUE,FALSE,base,3.4.0
as.Date.default,closure,function,TRUE,FALSE,base,3.4.0
as.Date.factor,closure,function,TRUE,FALSE,base,3.4.0
as.Date.numeric,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXct,closure,function,FALSE,FALSE,base,3.4.0
as.POSIXct.Date,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXct.POSIXlt,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXct.date,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXct.dates,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXct.default,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXct.numeric,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXlt,closure,function,FALSE,FALSE,base,3.4.0
as.POSIXlt.Date,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXlt.POSIXct,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXlt.character,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXlt.date,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXlt.dates,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXlt.default,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXlt.factor,closure,function,TRUE,FALSE,base,3.4.0
as.POSIXlt.numeric,closure,function,TRUE,FALSE,base,3.4.0
as.array,closure,function,FALSE,FALSE,base,3.4.0
as.array.default,closure,function,TRUE,FALSE,base,3.4.0
as.call,builtin,function,FALSE,FALSE,base,3.4.0
as.character,builtin,function,FALSE,FALSE,base,3.4.0
as.character.Date,closure,function,TRUE,FALSE,base,3.4.0
as.character.POSIXt,closure,function,TRUE,FALSE,base,3.4.0
as.character.condition,closure,function,TRUE,FALSE,base,3.4.0
as.character.default,closure,function,TRUE,FALSE,base,3.4.0
as.character.error,closure,function,TRUE,FALSE,base,3.4.0
as.character.factor,closure,function,TRUE,FALSE,base,3.4.0
